title,image
Bryant & Stratton College-Syracuse North,https://www.bryantstratton.edu/~/media/news/103011.ashx?la=en&hash=3B7C64F453C5B0D5F46667005540C3CA8D4F7E1D
Bryant & Stratton College-Buffalo,https://www.bryantstratton.edu/~/media/images/locations/our-locations-western-ny-768.ashx
Bryant & Stratton College-Greece,https://www.bryantstratton.edu/~/media/images/locations/southtowns1.ashx
Canisius College,https://www.canisius.edu/sites/default/files/legacy/basic-page/header-image/oes_web_main_page_quad_arial_0.png
St Paul's School of Nursing-Queens,https://www.stpaulsschoolofnursing.edu/campuses/new-york/staten-island/_jcr_content/par/section_2126176648/col1/text_image.transform/w1000/q85/img.png
Cayuga County Community College,https://www.cayuga-cc.edu/wp-content/uploads/2020/07/Campus-PHoto-for-Website.jpg
Cazenovia College,https://cnycentral.com/resources/media/2372240d-add6-40d2-a389-35a851be8f3c-full1x1_thumbnail_CazenoviaCollegeCampus.jpg
Central Yeshiva Tomchei Tmimim Lubavitz,https://collegevine.imgix.net/03c5e7dd-c893-435a-aa2c-b0ea701f50c5.jpg?w=70&h=70&fit=crop&crop=edges&dpr=2&auto=format
Circle in the Square Theatre School,https://deow9bq0xqvbj.cloudfront.net/ep-logo/pbblog9377813/Sara_Lazarus6ern5_300x300.png
Clarkson University,https://www.clarkson.edu/sites/default/files/2023-07/student-center-hero-1600x900_0.jpg
Clinton Community College,https://www.clinton.edu/_resources/images/Moore%20Back.jpg
Colgate University,https://www.colgate.edu/sites/default/files/styles/optimized/public/2021-09/Colgate_Landmarks_000064%20%281%29.jpg?itok=edheUhH7
Metropolitan College of New York,https://lorikupferarchitect.com/wp-content/uploads/2017/04/W1A8826-31-LK-MCNY-2nd-flr-open-area-doors-open-lvl5-sm-1-1024x683.jpg
Columbia University in the City of New York,https://www.columbia.edu/content/sites/default/files/styles/cu_crop/public/content/Morningside%20Campus%20at%20Dusk%202.jpg?itok=SkwvzD5S
Columbia-Greene Community College,https://www.columbiagreene.edu/wp-content/uploads/2023/01/CGCC-Landscapes-4-of-5_1600x800-1600x800.jpg
The Cooper Union for the Advancement of Science and Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Cooper_Union_-_Cooper_Union_Academic_Building_%2848072701728%29.jpg/220px-Cooper_Union_-_Cooper_Union_Academic_Building_%2848072701728%29.jpg
Cornell University,"https://assets.simpleviewinc.com/simpleview/image/upload/c_limit,h_1200,q_75,w_1200/v1/clients/ithacany/Cornell_Clock_Tower_credit_Cornell_University_UP_2016_1413_089_web_d1ca9d1a-ff75-4951-87af-33f061487bba.png"
SUNY Corning Community College,https://www.corning-cc.edu/perry-hall-1080x1080.jpg
Pomeroy College of Nursing at Crouse Hospital,https://www.crouse.org/wp-content/uploads/2018/05/nursing_1600x508new2.webp
Culinary Institute of America,https://culinary.hostexp.com/maps/UMAP_2013100217455/TileGroup0/3-3-2.jpg
CUNY Bernard M Baruch College,https://baruch.cuny.edu/images/map6-25_000.gif
CUNY Borough of Manhattan Community College,https://www1.cuny.edu/sites/cunystart/wp-content/uploads/sites/51/2018/01/bmcc-582x370.jpg
CUNY Bronx Community College,https://www.cuny.edu/wp-content/uploads/sites/4/2015/01/01_04_2008_bcc_gould_441.jpg
CUNY Brooklyn College,https://www.brooklyn.edu/wp-content/uploads/CE-230118-Drone-03-5.jpg
College of Staten Island CUNY,https://www.cuny.edu/wp-content/uploads/sites/4/page-assets/about/administration/offices/ehsrm/CSI_horizontal.jpg
